px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.75743	-7.29593	-3.09502	2.24887	0.182996	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	4.05445
8.82115	-7.45432	-3.11227	2.22177	0.146911	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.945831
8.87879	-7.55932	-2.62435	2.21362	0.126075	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.71527
8.93349	-7.70226	-2.63143	2.19063	0.0963238	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.658691
9.01297	-7.82466	-2.75696	2.19131	0.0931675	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.5257
9.05767	-7.96975	-2.76977	2.16162	0.0590445	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.890022
9.09635	-8.0602	-2.3525	2.15027	0.0407864	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	4.28956
9.13871	-8.19325	-2.36299	2.12556	0.0141849	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.549153
9.21889	-8.3261	-2.64133	2.12572	0.0158197	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.79553
9.25259	-8.47254	-2.66131	2.09088	-0.0193151	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.968446
9.29608	-8.57833	-2.36112	2.0764	-0.0361955	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	2.20594
9.32914	-8.71725	-2.37654	2.04607	-0.0640239	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.596437
9.45793	-8.92496	-3.41984	2.06453	-0.0314849	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	24.3056
9.51276	-9.10018	-3.43974	2.03728	-0.056971	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.45124
9.54146	-9.21463	-2.94649	2.00854	-0.0918622	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	6.06295
9.58867	-9.35346	-2.94549	1.99326	-0.102459	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.128773
9.62329	-9.46455	-2.70696	1.97689	-0.116964	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.61835
9.64207	-9.61299	-2.72653	1.94196	-0.145766	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.636234
9.7033	-9.76309	-2.91359	1.93809	-0.139724	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0.942148
9.7272	-9.91549	-2.92584	1.90884	-0.161697	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.421131
9.74774	-10.0321	-2.58315	1.88357	-0.183835	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	2.99017
9.78011	-10.1642	-2.57192	1.86825	-0.188849	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.12794
9.82333	-10.299	-2.62236	1.85971	-0.187632	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.49744
9.83213	-10.4438	-2.64436	1.82732	-0.210203	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.420533
9.87234	-10.5972	-2.7992	1.8197	-0.203086	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.978945
9.89467	-10.7523	-2.80401	1.79781	-0.213558	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.115109
9.90974	-10.8784	-2.55411	1.77291	-0.23177	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.47817
9.91042	-11.0296	-2.572	1.73984	-0.251653	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.34451
9.93077	-11.1628	-2.63111	1.72741	-0.250215	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.148073
9.92095	-11.3142	-2.6659	1.69079	-0.27389	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.439119
9.93604	-11.4555	-2.71416	1.67666	-0.27341	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.131623
9.91802	-11.6087	-2.7463	1.6386	-0.297348	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.486524
9.88352	-11.6856	-2.14357	1.5811	-0.357466	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	11.2403
9.84784	-11.8147	-2.18848	1.53531	-0.384772	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.654853
9.84111	-11.9346	-2.27506	1.51683	-0.3818	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.347051
9.78416	-12.0849	-2.35665	1.45786	-0.420825	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	1.33848
9.75248	-12.1799	-2.10379	1.41187	-0.455204	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	2.85993
9.68627	-12.3125	-2.17905	1.35191	-0.491287	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	1.23794
9.63003	-12.3682	-1.76087	1.28096	-0.552792	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	7.25168
9.53964	-12.494	-1.88295	1.20474	-0.599566	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	2.17168
9.49481	-12.5935	-1.88737	1.16644	-0.605228	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.173497
9.39032	-12.7254	-2.0167	1.08841	-0.647899	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	1.85046
9.29643	-12.7525	-1.48613	0.953423	-0.782488	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	19.3548
9.13833	-12.8834	-1.76582	0.839209	-0.853045	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	5.83744
9.03582	-12.9404	-1.68633	0.735518	-0.923779	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.04171
8.88067	-13.0416	-1.90464	0.636693	-0.963492	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	2.9164
8.74408	-13.0937	-1.96471	0.508909	-1.0322	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.86697
8.57106	-13.1733	-2.20033	0.419698	-1.00524	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	2.82808
8.35987	-13.2175	-2.49456	0.266905	-1.04868	8.22926	-13.1698	8.2	-13.15	-2.72741	0	9.32782
8.17841	-13.2474	-2.60436	0.187087	-1.01247	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.63165
7.99856	-13.2601	-2.74382	0.104808	-1.01093	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.54472
7.83198	-13.2572	-2.76828	0.0365777	-1.00554	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.687423
7.77792	-13.2726	-2.32962	0.0222041	-0.984474	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	6.41256
7.59929	-13.2847	-2.49157	-0.0269981	-0.982401	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.469
7.44442	-13.2698	-2.55451	-0.0872771	-0.981884	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.93681
7.26189	-13.2611	-2.66286	-0.138105	-0.9767	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.6721
7.06628	-13.2161	-3.03056	-0.202542	-0.983853	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.37136
6.89997	-13.1805	-3.07404	-0.251848	-0.978909	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.204286
6.74929	-13.1422	-2.99904	-0.301869	-0.972895	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.230714
6.58383	-13.0875	-3.02072	-0.35532	-0.969901	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.0604247
6.50062	-13.0585	-2.46164	-0.399601	-0.953366	6.40137	-13.0799	6.4	-13.05	-2.72678	0	6.77307
6.34101	-13.0173	-2.53367	-0.439346	-0.946766	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.488094
6.22352	-12.962	-2.44742	-0.489333	-0.94402	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.272405
6.05817	-12.9111	-2.53308	-0.524455	-0.93363	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0.940411
5.87903	-12.8092	-3.10725	-0.572942	-0.943948	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.8215
5.7235	-12.7276	-3.1518	-0.611176	-0.936456	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0.32568
5.63536	-12.6678	-2.59562	-0.653553	-0.917827	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	7.23923
5.49941	-12.5935	-2.62529	-0.690335	-0.907757	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.424048
5.36141	-12.4794	-2.87787	-0.740035	-0.910784	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.24912
5.21433	-12.3901	-2.90926	-0.770467	-0.894629	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.775519
5.116	-12.2965	-2.72413	-0.815331	-0.888274	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.772178
4.99205	-12.199	-2.74422	-0.84909	-0.874748	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.384329
4.89235	-12.0848	-2.80872	-0.892079	-0.874024	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.37826
4.7922	-11.9913	-2.80668	-0.922328	-0.861795	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.380084
4.69611	-11.8616	-2.87628	-0.968957	-0.861776	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.129305
4.61804	-11.7311	-2.86354	-1.0199	-0.865612	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0476466
4.5711	-11.6349	-2.44757	-1.07071	-0.86683	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	3.35388
4.51825	-11.5246	-2.42489	-1.11986	-0.869082	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.168488
4.40109	-11.3203	-3.39788	-1.14962	-0.85602	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	19.8228
4.36294	-11.158	-3.38353	-1.21096	-0.875447	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.36938
4.36197	-11.0576	-2.59954	-1.28236	-0.901927	4.43713	-11.024	4.45	-11.05	0	1.81614	13.0411
4.35822	-10.9165	-2.58274	-1.35383	-0.923659	4.45136	-10.93	4.45	-10.95	0	1.81612	0.53002
4.33349	-10.7707	-2.6469	-1.40645	-0.920863	4.44745	-10.786	4.45	-10.8	0	2.72555	0.213198
4.35088	-10.6241	-2.63632	-1.48229	-0.94458	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.704931
4.34685	-10.4816	-2.65012	-1.53636	-0.939462	4.46329	-10.5756	4.45	-10.5	0	2.729	0.254175
4.37077	-10.3321	-2.65521	-1.60564	-0.953731	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.294517
4.38979	-10.1911	-2.62276	-1.66532	-0.953808	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.221795
4.44524	-10.0397	-2.64655	-1.74449	-0.973628	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.654874
4.47878	-9.89251	-2.71515	-1.79816	-0.961255	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.444196
4.54881	-9.74131	-2.74568	-1.87272	-0.976269	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.477789
4.58586	-9.5687	-2.96229	-1.9084	-0.95141	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.50121
4.6689	-9.41928	-2.97658	-1.97618	-0.963267	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.429777
4.75173	-9.28151	-2.92176	-2.0418	-0.971255	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.512663
4.8621	-9.1312	-2.97933	-2.11359	-0.979674	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.459551
4.95007	-9.00792	-2.94692	-2.17088	-0.97963	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.154629
5.03277	-8.90179	-2.91448	-2.21972	-0.974203	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.131969
5.11722	-8.77009	-2.99575	-2.25341	-0.951664	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.42433
5.23785	-8.6392	-3.03027	-2.31076	-0.955318	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.0626131
5.34431	-8.53137	-3.03066	-2.3595	-0.955021	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0282292
5.45279	-8.42793	-3.02669	-2.40673	-0.953506	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.00105945
5.54186	-8.32089	-2.99857	-2.43097	-0.918731	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.27447
5.62999	-8.23585	-2.88179	-2.47274	-0.912572	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.540677
5.70105	-8.12811	-2.81323	-2.47889	-0.855192	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	5.17598
5.84071	-8.01409	-2.88682	-2.52363	-0.853018	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.217861
5.9248	-7.91601	-2.77942	-2.53377	-0.799269	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.79117
6.06429	-7.80742	-2.84862	-2.5722	-0.794217	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.30466
6.13521	-7.71877	-2.64454	-2.57182	-0.724986	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	5.56767
6.26872	-7.61873	-2.70561	-2.60429	-0.717994	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.334084
6.34794	-7.53864	-2.50675	-2.60746	-0.658313	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	4.0605
6.47417	-7.44624	-2.55918	-2.63425	-0.649263	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.403271
6.583	-7.36918	-2.56393	-2.65593	-0.636505	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	1.03979
6.72875	-7.26616	-2.70062	-2.67306	-0.620696	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.951185
6.75355	-7.18719	-2.18869	-2.63425	-0.502284	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	14.88
6.87828	-7.08568	-2.29231	-2.64276	-0.482448	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	1.11992
7.00186	-7.01668	-2.33976	-2.66719	-0.480527	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.202914
7.14755	-6.90495	-2.482	-2.66978	-0.455239	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	1.43575
7.20471	-6.82992	-2.11747	-2.64102	-0.370767	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	7.46784
7.34016	-6.71753	-2.26736	-2.63465	-0.342418	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	1.52675
7.50607	-6.65504	-2.62196	-2.68836	-0.402555	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	5.732
7.64459	-6.56252	-2.71466	-2.69088	-0.383916	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.605024
7.75304	-6.48873	-2.58576	-2.6899	-0.352865	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.03356
7.88031	-6.41243	-2.60317	-2.69979	-0.343523	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.202789
7.996	-6.34581	-2.51451	-2.70489	-0.32356	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.448085
8.13799	-6.24906	-2.599	-2.70136	-0.30153	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.652307
8.20257	-6.17913	-2.27954	-2.67474	-0.240954	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	4.62756
8.32714	-6.07805	-2.39013	-2.65939	-0.212727	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	1.07177
8.49104	-6.00922	-2.67747	-2.69206	-0.247593	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.96216
8.63881	-5.92048	-2.74117	-2.69246	-0.233726	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.24276
8.71479	-5.84304	-2.35926	-2.66061	-0.16785	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	5.36004
8.84725	-5.74221	-2.44695	-2.64723	-0.144815	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.629054
8.92667	-5.67603	-2.24449	-2.62957	-0.10816	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	2.05853
9.04379	-5.57337	-2.34495	-2.60866	-0.0815269	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.896007
9.19953	-5.49566	-2.67025	-2.63564	-0.120743	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	4.59658
9.3389	-5.39579	-2.73068	-2.62638	-0.104647	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.306444
9.40869	-5.3126	-2.35563	-2.58738	-0.0397941	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	5.00638
9.53506	-5.20896	-2.43651	-2.57113	-0.0208656	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.412175
9.62067	-5.13569	-2.23471	-2.55124	0.0114986	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	1.8767
9.74094	-5.02441	-2.33162	-2.52853	0.0339958	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.590094
9.82197	-4.9443	-2.159	-2.5034	0.0675577	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	1.58414
9.93569	-4.83155	-2.25666	-2.47892	0.0887202	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.542695
10.0042	-4.74218	-2.08029	-2.44268	0.13094	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	2.08703
10.1192	-4.5989	-2.24234	-2.40127	0.165531	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	1.47868
10.1984	-4.49717	-2.18494	-2.36889	0.194803	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0.999483
